food_id,name_kr,serving_g,carb_g,protein_g,fat_g,sugar_g,sodium_mg
injeolmi,인절미,100.0,42.554,6.401,1.764,0.0,337.74
jeolpyeon,절편,100.0,44.074,3.06,0.35,4.995,266.77
jeungpyeon,증편,100.0,44.216,2.536,0.342,15.984,259.038
cabssalddeog,찹쌀떡,100.0,62.076,3.409,0.231,13.986,226.381
maejaggwa,매작과,30.0,19.062900000000003,2.5542,3.5702999999999996,0.0,31.045799999999996
dasig,다식,30.0,20.8107,3.5462999999999996,1.7286,6.4557,3.8489999999999998
yaggwa,약과,30.0,22.183199999999996,2.574,1.2387,2.1519,16.4598
yugwa,유과,30.0,24.136499999999998,0.3609,3.504,1.12095,7.0554
sanja,산자,30.0,24.70195,0.9103499999999999,1.1966499999999998,10.632824999999999,8.012550000000001
ggaegangjeong,깨강정,30.0,13.62,4.5,9.87,0.0,24.3
